Country or Area,ISIC Rev 3,Year,Number of Employees,Industry_Category
Sri Lanka ,241 Basic chemicals,2008,1531,Other Industrial Items
Sri Lanka ,241 Basic chemicals,2007,2040,Other Industrial Items
Sri Lanka ,242 Other chemicals,2010,8251,Other Industrial Items
Sri Lanka ,242 Other chemicals,2009,9432,Other Industrial Items
Sri Lanka ,242 Other chemicals,2008,10095,Other Industrial Items
Sri Lanka ,242 Other chemicals,2007,12891,Other Industrial Items
Sri Lanka ,251 Rubber products,2010,29566,Other Industrial Items
Sri Lanka ,251 Rubber products,2009,30777,Other Industrial Items
Sri Lanka ,251 Rubber products,2008,35854,Other Industrial Items
Sri Lanka ,251 Rubber products,2007,36514,Other Industrial Items
Sri Lanka ,2520 Plastic products,2010,15158,Other Industrial Items
Sri Lanka ,2520 Plastic products,2009,16711,Other Industrial Items
Sri Lanka ,2520 Plastic products,2008,17847,Other Industrial Items
Sri Lanka ,2520 Plastic products,2007,15121,Other Industrial Items
Sri Lanka ,2610 Glass and glass products,2010,589,Other Industrial Items
Sri Lanka ,2610 Glass and glass products,2009,568,Other Industrial Items
Sri Lanka ,2610 Glass and glass products,2008,195,Other Industrial Items
Sri Lanka ,269 Non-metallic mineral products n.e.c.,2010,12839,Other Industrial Items
Sri Lanka ,269 Non-metallic mineral products n.e.c.,2009,12393,Other Industrial Items
Sri Lanka ,269 Non-metallic mineral products n.e.c.,2008,13995,Other Industrial Items
Sri Lanka ,269 Non-metallic mineral products n.e.c.,2007,42262,Other Industrial Items
Sri Lanka ,2710 Basic iron and steel,2010,1274,Other Industrial Items
Sri Lanka ,2710 Basic iron and steel,2009,670,Other Industrial Items
Sri Lanka ,2710 Basic iron and steel,2008,1068,Other Industrial Items
Sri Lanka ,2710 Basic iron and steel,2007,107,Other Industrial Items
Sri Lanka ,2720 Basic precious and non-ferrous metals,2009,47,Other Industrial Items
Sri Lanka ,2720 Basic precious and non-ferrous metals,2008,111,Other Industrial Items
Sri Lanka ,2720 Basic precious and non-ferrous metals,2007,100,Other Industrial Items
Sri Lanka ,273 Casting of metals,2010,2363,Other Industrial Items
Sri Lanka ,273 Casting of metals,2009,2640,Other Industrial Items
Sri Lanka ,273 Casting of metals,2008,2460,Other Industrial Items
Sri Lanka ,273 Casting of metals,2007,4446,Other Industrial Items
Sri Lanka ,281 Struct.metal products;tanks;steam generators,2010,2313,Other Industrial Items
Sri Lanka ,281 Struct.metal products;tanks;steam generators,2009,2659,Other Industrial Items
Sri Lanka ,281 Struct.metal products;tanks;steam generators,2008,3336,Other Industrial Items
Sri Lanka ,281 Struct.metal products;tanks;steam generators,2007,977,Other Industrial Items
Sri Lanka ,289 Other metal products; metal working services,2010,2159,Other Industrial Items
Sri Lanka ,289 Other metal products; metal working services,2009,2654,Other Industrial Items
Sri Lanka ,289 Other metal products; metal working services,2008,2934,Other Industrial Items
Sri Lanka ,289 Other metal products; metal working services,2007,6443,Other Industrial Items
Sri Lanka ,291 General purpose machinery,2010,608,"Machinery, Electrics and Electronics"
Sri Lanka ,291 General purpose machinery,2009,720,"Machinery, Electrics and Electronics"
Sri Lanka ,291 General purpose machinery,2008,6824,"Machinery, Electrics and Electronics"
Sri Lanka ,291 General purpose machinery,2007,4601,"Machinery, Electrics and Electronics"
Sri Lanka ,292 Special purpose machinery,2010,628,"Machinery, Electrics and Electronics"
Sri Lanka ,292 Special purpose machinery,2009,1049,"Machinery, Electrics and Electronics"
Sri Lanka ,292 Special purpose machinery,2008,1532,"Machinery, Electrics and Electronics"
Sri Lanka ,292 Special purpose machinery,2007,2238,"Machinery, Electrics and Electronics"
Sri Lanka ,2930 Domestic appliances n.e.c.,2010,1224,"Machinery, Electrics and Electronics"
Sri Lanka ,2930 Domestic appliances n.e.c.,2009,1199,"Machinery, Electrics and Electronics"
Sri Lanka ,2930 Domestic appliances n.e.c.,2008,1443,"Machinery, Electrics and Electronics"
Sri Lanka ,2930 Domestic appliances n.e.c.,2007,791,"Machinery, Electrics and Electronics"
Sri Lanka ,"3000 Office, accounting and computing machinery",2010,2769,"Machinery, Electrics and Electronics"
Sri Lanka ,"3000 Office, accounting and computing machinery",2009,1546,"Machinery, Electrics and Electronics"
Sri Lanka ,"3000 Office, accounting and computing machinery",2008,2688,"Machinery, Electrics and Electronics"
Sri Lanka ,"3000 Office, accounting and computing machinery",2007,5200,"Machinery, Electrics and Electronics"
Sri Lanka ,"3110 Electric motors, generators and transformers",2010,2229,"Machinery, Electrics and Electronics"
Sri Lanka ,"3110 Electric motors, generators and transformers",2009,2341,"Machinery, Electrics and Electronics"
Sri Lanka ,"3110 Electric motors, generators and transformers",2008,2702,"Machinery, Electrics and Electronics"
Sri Lanka ,"3110 Electric motors, generators and transformers",2007,3125,"Machinery, Electrics and Electronics"
Sri Lanka ,3120 Electricity distribution & control apparatus,2010,1976,"Machinery, Electrics and Electronics"
Sri Lanka ,3120 Electricity distribution & control apparatus,2009,1217,"Machinery, Electrics and Electronics"
Sri Lanka ,3120 Electricity distribution & control apparatus,2008,1432,"Machinery, Electrics and Electronics"
Sri Lanka ,3120 Electricity distribution & control apparatus,2007,2359,"Machinery, Electrics and Electronics"
Sri Lanka ,3130 Insulated wire and cable,2010,1035,"Machinery, Electrics and Electronics"
Sri Lanka ,3130 Insulated wire and cable,2009,965,"Machinery, Electrics and Electronics"
Sri Lanka ,3130 Insulated wire and cable,2008,1069,"Machinery, Electrics and Electronics"
Sri Lanka ,3130 Insulated wire and cable,2007,1697,"Machinery, Electrics and Electronics"
Sri Lanka ,"3140 Accumulators, primary cells and batteries",2010,374,"Machinery, Electrics and Electronics"
Sri Lanka ,"3140 Accumulators, primary cells and batteries",2009,416,"Machinery, Electrics and Electronics"
Sri Lanka ,"3140 Accumulators, primary cells and batteries",2008,411,"Machinery, Electrics and Electronics"
Sri Lanka ,"3140 Accumulators, primary cells and batteries",2007,963,"Machinery, Electrics and Electronics"
Sri Lanka ,3150 Lighting equipment and electric lamps,2010,256,"Machinery, Electrics and Electronics"
Sri Lanka ,3150 Lighting equipment and electric lamps,2009,306,"Machinery, Electrics and Electronics"
Sri Lanka ,3150 Lighting equipment and electric lamps,2008,389,"Machinery, Electrics and Electronics"
Sri Lanka ,3150 Lighting equipment and electric lamps,2007,550,"Machinery, Electrics and Electronics"
Sri Lanka ,"3210 Electronic valves, tubes, etc.",2010,1326,"Machinery, Electrics and Electronics"
Sri Lanka ,"3210 Electronic valves, tubes, etc.",2009,1352,"Machinery, Electrics and Electronics"
Sri Lanka ,"3210 Electronic valves, tubes, etc.",2008,1465,"Machinery, Electrics and Electronics"
Sri Lanka ,"3210 Electronic valves, tubes, etc.",2007,1782,"Machinery, Electrics and Electronics"
Sri Lanka ,3220 TV/radio transmitters; line comm. apparatus,2009,62,"Machinery, Electrics and Electronics"
Sri Lanka ,3220 TV/radio transmitters; line comm. apparatus,2008,74,"Machinery, Electrics and Electronics"
Sri Lanka ,3220 TV/radio transmitters; line comm. apparatus,2007,134,"Machinery, Electrics and Electronics"
Sri Lanka ,3230 TV and radio receivers and associated goods,2010,349,"Machinery, Electrics and Electronics"
Sri Lanka ,3230 TV and radio receivers and associated goods,2009,272,"Machinery, Electrics and Electronics"
Sri Lanka ,3230 TV and radio receivers and associated goods,2008,283,"Machinery, Electrics and Electronics"
Sri Lanka ,3230 TV and radio receivers and associated goods,2007,490,"Machinery, Electrics and Electronics"
Sri Lanka ,3320 Optical instruments & photographic equipment,2009,256,"Machinery, Electrics and Electronics"
Sri Lanka ,3320 Optical instruments & photographic equipment,2008,303,"Machinery, Electrics and Electronics"
Sri Lanka ,3320 Optical instruments & photographic equipment,2007,30,"Machinery, Electrics and Electronics"
Sri Lanka ,3410 Motor vehicles,2010,498,Transport and Vehicles
Sri Lanka ,3410 Motor vehicles,2009,280,Transport and Vehicles
Sri Lanka ,3410 Motor vehicles,2008,429,Transport and Vehicles
Sri Lanka ,3410 Motor vehicles,2007,80,Transport and Vehicles
Sri Lanka ,"3420 Automobile bodies, trailers & semi-trailers",2010,389,Transport and Vehicles
Sri Lanka ,"3420 Automobile bodies, trailers & semi-trailers",2009,301,Transport and Vehicles
Sri Lanka ,"3420 Automobile bodies, trailers & semi-trailers",2008,267,Transport and Vehicles
Sri Lanka ,"3420 Automobile bodies, trailers & semi-trailers",2007,527,Transport and Vehicles
Sri Lanka ,3430 Parts/accessories for automobiles,2009,54,Transport and Vehicles
Sri Lanka ,3430 Parts/accessories for automobiles,2008,201,Transport and Vehicles
Sri Lanka ,3430 Parts/accessories for automobiles,2007,838,Transport and Vehicles
Sri Lanka ,351 Building and repairing of ships and boats,2010,3899,Transport and Vehicles
Sri Lanka ,351 Building and repairing of ships and boats,2009,3512,Transport and Vehicles
Sri Lanka ,351 Building and repairing of ships and boats,2008,3704,Transport and Vehicles
Sri Lanka ,351 Building and repairing of ships and boats,2007,5473,Transport and Vehicles
Sri Lanka ,3520 Railway/tramway locomotives & rolling stock,2007,196,Transport and Vehicles
Sri Lanka ,359 Transport equipment n.e.c.,2010,1199,Transport and Vehicles
Sri Lanka ,359 Transport equipment n.e.c.,2009,1132,Transport and Vehicles
Sri Lanka ,359 Transport equipment n.e.c.,2008,1672,Transport and Vehicles
Sri Lanka ,359 Transport equipment n.e.c.,2007,3679,Transport and Vehicles
Sri Lanka ,3610 Furniture,2010,5953,Other Industrial Items
Sri Lanka ,3610 Furniture,2009,5623,Other Industrial Items
Sri Lanka ,3610 Furniture,2008,6589,Other Industrial Items
Sri Lanka ,3610 Furniture,2007,9867,Other Industrial Items
Sri Lanka ,369 Manufacturing n.e.c.,2010,13423,Other Industrial Items
Sri Lanka ,369 Manufacturing n.e.c.,2009,13751,Other Industrial Items
Sri Lanka ,369 Manufacturing n.e.c.,2008,16277,Other Industrial Items
Sri Lanka ,369 Manufacturing n.e.c.,2007,23129,Other Industrial Items
Sri Lanka ,3710 Recycling of metal waste and scrap,2009,68,Other Industrial Items
Sri Lanka ,3710 Recycling of metal waste and scrap,2008,136,Other Industrial Items
Sri Lanka ,3720 Recycling of non-metal waste and scrap,2010,421,Other Industrial Items
Sri Lanka ,3720 Recycling of non-metal waste and scrap,2009,441,Other Industrial Items
Sri Lanka ,3720 Recycling of non-metal waste and scrap,2008,638,Other Industrial Items
Sri Lanka ,3720 Recycling of non-metal waste and scrap,2007,430,Other Industrial Items
